code,Plot,habitat,site,treatment,number,species,height,fweight,dweight,leafa
D4C12,D4C,D,D4,C,12,Empnig,3.2,0.0329,0.0163,1.611556132
D3SF1,D3SF,D,D3,SF,1,Betnan,7.2,0.0764,0.0337,3.5677348
D3SF2,D3SF,D,D3,SF,2,Betnan,9.2,0.0763,0.0328,3.590835399
D3SF3,D3SF,D,D3,SF,3,Betnan,6.7,0.0498,0.0219,2.612450259
D3SF4,D3SF,D,D3,SF,4,Betnan,6.2,0.0799,0.0342,3.791623384
D3SF5,D3SF,D,D3,SF,5,Vaculi,3.7,0.0837,0.0363,3.590978624
D3SF6,D3SF,D,D3,SF,6,Vaculi,4.6,0.0813,0.0365,3.882823847
D3SF7,D3SF,D,D3,SF,7,Vaculi,3.8,0.0736,0.0292,3.252036722
D3SF8,D3SF,D,D3,SF,8,Vaculi,5.2,0.0671,0.0267,2.864940722
D3SF9,D3SF,D,D3,SF,9,Empnig,3.2,0.0575,0.0221,2.523758178
D3SF10,D3SF,D,D3,SF,10,Empnig,3.9,0.0527,0.0239,2.384009426
D3SF11,D3SF,D,D3,SF,11,Empnig,5.7,0.0834,0.0333,3.216947114
D3SF12,D3SF,D,D3,SF,12,Empnig,4.1,0.098,0.0437,3.43241249
D2C1,D2C,D,D2,C,1,Betnan,7.8,0.096,0.0427,4.876531537
D2C2,D2C,D,D2,C,2,Betnan,6.5,0.0673,0.0294,3.239079328
D2C3,D2C,D,D2,C,3,Betnan,7.3,0.0505,0.0291,2.917682552
D2C4,D2C,D,D2,C,4,Betnan,2.3,0.0493,0.0231,2.749134502
D2C5,D2C,D,D2,C,5,Vaculi,7.5,0.0767,0.0319,4.158719424
D2C6,D2C,D,D2,C,6,Vaculi,5.5,0.0448,0.0165,2.270049008
D2C7,D2C,D,D2,C,7,Vaculi,8.1,0.0588,0.0249,3.054438407
D2C8,D2C,D,D2,C,8,Vaculi,6.1,0.0624,0.0253,3.223828391
D2C9,D2C,D,D2,C,9,Empnig,4.9,0.0775,0.0379,3.158667231
D2C10,D2C,D,D2,C,10,Empnig,2.7,0.0668,0.0338,3.105782176
D2C11,D2C,D,D2,C,11,Empnig,6.2,0.0448,0.0211,1.998526326
D2C12,D2C,D,D2,C,12,Empnig,3.4,0.0506,0.0262,2.15676988
E4SF1,E4SF,E,E4,SF,1,Vaculi,7.8,0.1185,0.0439,5.884719198
E4SF2,E4SF,E,E4,SF,2,Vaculi,6.7,0.1237,0.046,5.233035986
E4SF3,E4SF,E,E4,SF,3,Vaculi,8.8,0.1482,0.0534,7.075344559
E4SF4,E4SF,E,E4,SF,4,Betnan,14.6,0.0851,0.0344,4.880850238
E4SF5,E4SF,E,E4,SF,5,Betnan,14.7,0.0892,0.0308,4.908807602
E4SF6,E4SF,E,E4,SF,6,Betnan,11.9,0.0738,0.0326,4.273432098
E4SF7,E4SF,E,E4,SF,7,Empnig,10.4,0.0583,0.0215,3.231498698
E4SF8,E4SF,E,E4,SF,8,Empnig,7.7,0.078,0.0346,4.134758827
E4SF9,E4SF,E,E4,SF,9,Empnig,8.5,0.0548,0.0233,2.341267576
E4SF10,E4SF,E,E4,SF,10,Empnig,7.9,0.1229,0.0466,4.542768979
E4SF11,E4SF,E,E4,SF,11,Vaculi,8.4,0.0749,0.0399,3.960780466
E4SF13,E4SF,E,E4,SF,13,Betnan,20.5,0.0528,0.0212,3.110047328
E4C1,E4C,E,E4,C,1,Vaculi,8.3,0.1229,0.0512,4.786245266
E4C2,E4C,E,E4,C,2,Vaculi,8.7,0.0853,0.0316,3.730351249
E4C3,E4C,E,E4,C,3,Vaculi,6.5,0.0738,0.0262,3.29257406
E4C5,E4C,E,E4,C,5,Betnan,16.4,0.0907,0.0391,4.451962709
E4C6,E4C,E,E4,C,6,Betnan,6,0.0514,0.0212,3.097359612
E4C7,E4C,E,E4,C,7,Betnan,14.6,0.0785,0.0339,3.698308087
E4C8,E4C,E,E4,C,8,Betnan,10.2,0.1283,0.0557,6.47192254
E4C9,E4C,E,E4,C,9,Empnig,5.7,0.0831,0.0385,3.359007476
E4C10,E4C,E,E4,C,10,Empnig,4.7,0.0874,0.0391,3.225405807
E4C11,E4C,E,E4,C,11,Empnig,7.1,0.1021,0.0451,3.913254109
E4C12,E4C,E,E4,C,12,Empnig,3.8,0.0753,0.0324,2.967538581
X3SF1,X3SF,X,X3,SF,1,Vaculi,2.4,0.0408,0.0183,2.307629578
X3SF2,X3SF,X,X3,SF,2,Vaculi,1.8,0.0607,0.0246,3.786372427
X3SF3,X3SF,X,X3,SF,3,Vaculi,2.6,0.0624,0.0286,3.265925081
X3SF4,X3SF,X,X3,SF,4,Vaculi,2.7,0.0534,0.0251,2.711732641
X3SF5,X3SF,X,X3,SF,5,Betnan,3.3,0.0642,0.0295,3.620691468
X3SF6,X3SF,X,X3,SF,6,Betnan,2.2,0.0652,0.0287,4.205869653
X3SF7,X3SF,X,X3,SF,7,Betnan,2.9,0.0577,0.0254,3.662662997
X3SF8,X3SF,X,X3,SF,8,Betnan,2.6,0.0756,0.031,3.784920817
X3SF9,X3SF,X,X3,SF,9,Empnig,2.6,0.1037,0.046,4.509130982
X3SF10,X3SF,X,X3,SF,10,Empnig,2.8,0.0599,0.0247,2.161429226
X3SF11,X3SF,X,X3,SF,11,Empnig,2.2,0.0475,0.0342,3.303756618
X3SF12,X3SF,X,X3,SF,12,Empnig,2.7,0.0801,0.0398,3.36225134
X3C1,X3C,X,X3,C,1,Vaculi,0.7,0.025,0.0101,1.270840039
X3C2,X3C,X,X3,C,2,Vaculi,1.1,0.0342,0.0142,1.650874763
X3C3,X3C,X,X3,C,3,Vaculi,2.1,0.0312,0.0117,1.487469928
X3C4,X3C,X,X3,C,4,Vaculi,1.6,0.0385,0.0165,2.141716362
X3C5,X3C,X,X3,C,5,Betnan,3,0.1083,0.0522,5.851637329
X3C6,X3C,X,X3,C,6,Betnan,2.9,0.1041,0.0452,6.377604019
X3C7,X3C,X,X3,C,7,Betnan,6.8,0.0836,0.0379,4.365887397
X3C8,X3C,X,X3,C,8,Empnig,2.2,0.0996,0.0474,4.527356752
X3C9,X3C,X,X3,C,9,Empnig,1.7,0.0503,0.0248,2.466858937
X3C10,X3C,X,X3,C,10,Empnig,0.9,0.0706,0.0302,3.718809982
X3C11,X3C,X,X3,C,11,Empnig,2.4,0.1316,0.0645,5.164058059
E5SF1,E5SF,E,E5,SF,1,Vaculi,6.3,0.0613,0.0209,2.597593514
E5SF2,E5SF,E,E5,SF,2,Vaculi,7.9,0.1643,0.0582,6.794376734
E5SF3,E5SF,E,E5,SF,3,Vaculi,2.5,0.0639,0.024,2.818847266
E5SF4,E5SF,E,E5,SF,4,Vaculi,5.6,0.0915,0.0366,
E5SF5,E5SF,E,E5,SF,5,Betnan,7.7,0.0732,0.0346,4.028128073
E5SF6,E5SF,E,E5,SF,6,Betnan,7.9,0.0946,0.039,5.705006654
E5SF7,E5SF,E,E5,SF,7,Betnan,22.4,0.2032,0.0756,11.84384728
E5SF8,E5SF,E,E5,SF,8,Betnan,13.6,0.0625,0.0269,3.731999633
E5SF9,E5SF,E,E5,SF,9,Empnig,6.9,0.1444,0.0658,5.863303757
E5SF10,E5SF,E,E5,SF,10,Empnig,9.8,0.1709,0.0781,7.584035154
E5SF11,E5SF,E,E5,SF,11,Empnig,9.3,0.1122,0.0521,4.989130022
E5SF12,E5SF,E,E5,SF,12,Empnig,7.7,0.1022,0.0474,4.231873472
E5C1,E5C,E,E5,C,1,Vaculi,4.6,0.0429,0.0167,1.80677058
E5C2,E5C,E,E5,C,2,Vaculi,3.8,0.0281,0.0084,1.506860857
E5C3,E5C,E,E5,C,3,Vaculi,4.1,0.0425,0.0179,2.037666247
E5C4,E5C,E,E5,C,4,Vaculi,5.6,0.0344,0.0137,1.712541091
E5C5,E5C,E,E5,C,5,Betnan,7.2,0.0975,0.0403,4.567499897
E5C6,E5C,E,E5,C,6,Betnan,6.4,0.0743,0.0319,3.446336978
E5C7,E5C,E,E5,C,7,Betnan,7.9,0.0931,0.0372,4.802481363
E5C8,E5C,E,E5,C,8,Betnan,14.8,0.132,0.0546,5.467963903
E5C9,E5C,E,E5,C,9,Empnig,4.6,0.1022,0.0536,3.842483283
E5C10,E5C,E,E5,C,10,Empnig,4.3,0.1107,0.0526,4.695133836
E5C11,E5C,E,E5,C,11,Empnig,5.4,0.0866,0.0403,3.563003842
E5C12,E5C,E,E5,C,12,Empnig,3.5,0.0679,0.0342,2.672144978
D5C1,D5C,D,D5,C,1,Vaculi,3.4,0.0479,0.0185,2.498023391
D5C2,D5C,D,D5,C,2,Betnan,14.6,0.1127,0.0457,5.452157483
D5C3,D5C,D,D5,C,3,Vaculi,5.6,0.0809,0.0314,3.768003432
D5C4,D5C,D,D5,C,4,Vaculi,6.2,0.0983,0.0391,4.698108668
D5C5,D5C,D,D5,C,5,Vaculi,5.7,0.0417,0.014,2.524403338
D5C6,D5C,D,D5,C,6,Betnan,34.8,0.0913,0.0411,4.826710992
D5C7,D5C,D,D5,C,7,Betnan,14.9,0.0613,0.0279,3.047915194
D5C8,D5C,D,D5,C,8,Betnan,16.1,0.0714,0.0329,3.504652346
D5C9,D5C,D,D5,C,9,Empnig,8.3,0.1686,0.0827,7.15901794
D5C10,D5C,D,D5,C,10,Empnig,4.7,0.0532,0.0255,2.149458282
D5C11,D5C,D,D5,C,11,Empnig,10.2,0.1281,0.0566,5.174398038
D5C12,D5C,D,D5,C,12,Empnig,5.7,0.1039,0.0504,4.543414139
D4SF1,D4SF,D,D4,SF,1,Vaculi,4.4,0.0955,0.0291,4.8032162
D4SF2,D4SF,D,D4,SF,2,Vaculi,5.3,0.089,0.0262,4.484148451
D4SF3,D4SF,D,D4,SF,3,Vaculi,6.9,0.1033,0.0338,4.913072754
D4SF4,D4SF,D,D4,SF,4,Vaculi,6.9,0.0913,0.0285,4.15999168
D4SF5,D4SF,D,D4,SF,5,Betnan,4.7,0.0588,0.0231,2.605174144
D4SF6,D4SF,D,D4,SF,6,Betnan,5.6,0.0416,0.0172,2.650048248
D4SF7,D4SF,D,D4,SF,7,Betnan,4.6,0.1625,0.054,7.748228374
D4SF8,D4SF,D,D4,SF,8,Betnan,7.3,0.1902,0.072,6.159432197
D4SF9,D4SF,D,D4,SF,9,Empnig,5.4,0.1321,0.0586,5.4564407
D4SF10,D4SF,D,D4,SF,10,Empnig,4,0.0889,0.0337,3.716874502
D4SF11,D4SF,D,D4,SF,11,Empnig,5.4,0.0838,0.0316,3.565118031
D4SF12,D4SF,D,D4,SF,12,Empnig,4.7,0.0648,0.0269,2.779420893
D3C1,D3C,D,D3,C,1,Vaculi,4.5,0.1121,0.0459,5.516888321
D3C2,D3C,D,D3,C,2,Vaculi,3.6,0.0228,0.0082,1.277882606
D3C3,D3C,D,D3,C,3,Vaculi,3.3,0.0631,0.0235,3.156051107
D3C4,D3C,D,D3,C,4,Vaculi,3.1,0.0394,0.0121,1.455785476
D3C5,D3C,D,D3,C,5,Betnan,6.4,0.0463,0.0205,2.748793857
D3C6,D3C,D,D3,C,6,Betnan,12.2,0.0507,0.0221,2.949277327
D3C7,D3C,D,D3,C,7,Betnan,6.8,0.0534,0.0236,3.075818364
D3C8,D3C,D,D3,C,8,Betnan,7.9,0.0376,0.0165,2.351321749
D3C9,D3C,D,D3,C,9,Empnig,7.6,0.0665,0.029,2.76725253
D3C10,D3C,D,D3,C,10,Empnig,5.4,0.0581,0.025,2.36209205
D3C11,D3C,D,D3,C,11,Empnig,3.9,0.0767,0.0353,2.969205674
D3C12,D3C,D,D3,C,12,Empnig,4.5,0.0927,0.0381,3.618075344
D2SF1,D2SF,D,D2,SF,1,Vaculi,3.1,0.0332,0.0143,1.830946016
D2SF2,D2SF,D,D2,SF,2,Vaculi,2.3,0.0479,0.021,2.313203116
D2SF3,D2SF,D,D2,SF,3,Vaculi,4.4,0.1222,0.0489,5.220240527
D2SF4,D2SF,D,D2,SF,4,Vaculi,3.7,0.0983,0.0434,4.678735804
D2SF5,D2SF,D,D2,SF,5,Betnan,6,0.0487,0.0222,2.621105726
D2SF6,D2SF,D,D2,SF,6,Betnan,5.1,0.0386,0.0177,2.309117317
D2SF7,D2SF,D,D2,SF,7,Betnan,5.7,0.0996,0.0416,5.452874256
D2SF8,D2SF,D,D2,SF,8,Betnan,3.5,0.0667,0.0287,3.791533707
D2SF9,D2SF,D,D2,SF,9,Empnig,5.1,0.0523,0.0227,2.203741399
D2SF10,D2SF,D,D2,SF,10,Empnig,4.6,0.044,0.0191,1.808724124
D2SF11,D2SF,D,D2,SF,11,Empnig,3.9,0.0462,0.0208,2.013472747
D2SF12,D2SF,D,D2,SF,12,Empnig,3.6,0.0897,0.038,3.991802339
E3C1,E3C,E,E3,C,1,Vaculi,9.3,0.0604,0.023,3.040495854
E3C2,E3C,E,E3,C,2,Vaculi,6.2,0.0446,0.0187,2.17789887
E3C3,E3C,E,E3,C,3,Vaculi,5.9,0.0558,0.0238,2.887521322
E3C4,E3C,E,E3,C,4,Vaculi,5.7,0.0795,0.0297,4.321873292
E3C5,E3C,E,E3,C,5,Betnan,18.4,0.0805,0.0357,4.451048517
E3C6,E3C,E,E3,C,6,Betnan,11.9,0.0641,0.0281,4.015941646
E3C7,E3C,E,E3,C,7,Betnan,18.2,0.1366,0.0613,5.633357766
E3C8,E3C,E,E3,C,8,Betnan,16.7,0.0536,0.0244,2.917771584
E3C9,E3C,E,E3,C,9,Empnig,6.3,0.0794,0.0383,3.347161693
E3C10,E3C,E,E3,C,10,Empnig,7.8,0.0237,0.0099,0.930051688
E3C11,E3C,E,E3,C,11,Empnig,7,0.0408,0.0197,1.799315111
E3C12,E3C,E,E3,C,12,Empnig,8.5,0.094,0.0436,3.632985637
D1SFa,D1SF,D,D1,SF,a,Vaculi,6.1,0.1441,0.0624,6.518015996
D1SFb,D1SF,D,D1,SF,b,Betnan,26,0.0577,0.0268,3.212233576
D1SFc,D1SF,D,D1,SF,c,Empnig,4.1,0.0402,0.0156,2.09612484
E2Ca,E2C,E,E2,C,a,Vaculi,6.4,0.0871,0.0323,4.482947808
E2Cb,E2C,E,E2,C,b,Vaculi,4.7,0.0352,0.0137,1.802344137
E2Cc,E2C,E,E2,C,c,Betnan,7.7,0.0518,0.0217,2.71660747
E2Cd,E2C,E,E2,C,d,Betnan,18.3,0.0612,0.0274,2.67047853
E2Ce,E2C,E,E2,C,e,Empnig,7.1,0.0746,0.0365,2.930424462
E2Cf,E2C,E,E2,C,f,Empnig,11.3,0.0997,0.053,3.767536981
X1SFa,X1SF,X,X1,SF,a,Vaculi,3.4,0.0373,0.0133,1.969565738
X1SFb,X1SF,X,X1,SF,b,Betnan,26.3,0.1305,0.0543,6.741025873
X1SFc,X1SF,X,X1,SF,c,Empnig,8.7,0.0966,0.0505,3.7983795
X5SF1,X5SF,X,X5,SF,1,Vaculi,2.9,0.0683,0.031,3.428272498
X5SF2,X5SF,X,X5,SF,2,Vaculi,3.6,0.0592,0.0249,2.984492096
X5SF3,X5SF,X,X5,SF,3,Vaculi,2.1,0.0575,0.0235,2.766876402
X5SF4,X5SF,X,X5,SF,4,Vaculi,2.2,0.0795,0.0362,3.950457906
X5SF5,X5SF,X,X5,SF,5,Betnan,3.8,0.0528,0.025,2.603363826
X5SF6,X5SF,X,X5,SF,6,Betnan,4.9,0.0417,0.02,2.226877482
X5SF7,X5SF,X,X5,SF,7,Betnan,4.4,0.0619,0.0274,3.513021361
X5SF8,X5SF,X,X5,SF,8,Betnan,4.2,0.0566,0.026,3.080997709
X5SF9,X5SF,X,X5,SF,9,Empnig,2.5,0.035,0.0193,1.449477101
X5SF10,X5SF,X,X5,SF,10,Empnig,2.7,0.0495,0.0242,2.105264822
X5SF11,X5SF,X,X5,SF,11,Empnig,1.6,0.0791,0.0392,3.073488692
X5SF12,X5SF,X,X5,SF,12,Empnig,2,0.0291,0.0155,1.262488443
